Row Labels,STATE_ABBREVIATION,STUDYYEAR,Average of MCBTO5,Average of MC6TO11,Average of MC12TO17,Average of MC18TO23,Average of MC24TO29,Average of MC30TO35,Average of MC36TO41,Average of MC42TO47,Average of MC48TO53,Average of MC54TOSA,Average of MCSA
Alabama,AL,2008,96.82910448,96.82910448,96.82910448,96.82910448,96.82910448,87.48402985,87.48402985,87.48402985,87.48402985,87.48402985,85.34343284
Alabama,AL,2009,98.36477612,98.36477612,98.36477612,98.36477612,98.36477612,89.18970149,89.18970149,89.18970149,89.18970149,89.18970149,86.45507463
Alabama,AL,2010,99.90358209,99.90358209,99.90358209,99.90358209,99.90358209,90.89537313,90.89537313,90.89537313,90.89537313,90.89537313,87.56970149
Alabama,AL,2011,101.4397015,101.4397015,101.4397015,101.4397015,101.4397015,92.60149254,92.60149254,92.60149254,92.60149254,92.60149254,88.68313433
Alabama,AL,2012,102.9758209,102.9758209,102.9758209,102.9758209,102.9758209,94.30761194,94.30761194,94.30761194,94.30761194,94.30761194,89.79746269
Alabama,AL,2013,104.511194,104.511194,104.511194,104.511194,104.511194,96.01343284,96.01343284,96.01343284,96.01343284,96.01343284,90.91179104
Alabama,AL,2014,106.0510448,106.0510448,106.0510448,106.0510448,106.0510448,97.71865672,97.71865672,97.71865672,97.71865672,97.71865672,92.02432836
Alabama,AL,2015,108.9497015,108.9497015,108.9497015,108.9497015,108.9497015,100.2840299,100.2840299,100.2840299,100.2840299,100.2840299,94.60820896
Alabama,AL,2016,111.8513433,111.8513433,111.8513433,111.8513433,111.8513433,102.8467164,102.8467164,102.8467164,102.8467164,102.8467164,97.19044776
Alabama,AL,2017,114.7523881,114.7523881,114.7523881,114.7523881,114.7523881,105.4098507,105.4098507,105.4098507,105.4098507,105.4098507,99.77313433
Alabama,AL,2018,117.6538806,117.6538806,117.6538806,117.6538806,117.6538806,107.9744776,107.9744776,107.9744776,107.9744776,107.9744776,102.3565672
Alaska,AK,2008,,,,,,,,,,,
Alaska,AK,2009,,,,,,,,,,,
Alaska,AK,2010,,,,,,,,,,,
Alaska,AK,2011,,,,,,,,,,,
Alaska,AK,2012,,,,,,,,,,,
Alaska,AK,2013,,,,,,,,,,,
Alaska,AK,2014,201.8414286,201.8414286,201.8414286,181.6314286,181.6314286,181.6314286,159.1142857,159.1142857,159.1142857,159.1142857,160.3214286
Alaska,AK,2015,192.7963636,192.7963636,192.7963636,191.8109091,191.1454545,191.1454545,158.1827273,158.1827273,158.1827273,158.1827273,153.3227273
Alaska,AK,2016,246.1657143,246.1657143,246.1657143,229.3371429,229.3371429,229.3371429,190.6985714,190.6985714,190.6985714,190.6985714,149.7028571
Alaska,AK,2017,270.6133333,270.6133333,270.6133333,250,250,250,211.3033333,211.3033333,211.3033333,211.3033333,148.4633333
Alaska,AK,2018,319.8142857,319.8142857,319.8142857,277.0385714,277.0385714,277.0385714,229.2357143,229.2357143,229.2357143,229.2357143,147.2657143
Arizona,AZ,2008,148,148,130.8933333,130.8933333,130.8933333,130.8933333,119.5333333,119.5333333,119.5333333,119.5333333,109.2333333
Arizona,AZ,2009,153.7,153.7,133.942,133.942,133.942,133.942,122.068,122.068,122.068,122.068,110.7833333
Arizona,AZ,2010,159.4,159.4,136.99,136.99,136.99,136.99,124.6,124.6,124.6,124.6,112.3333333
Arizona,AZ,2011,161.4093333,161.4093333,141.9006667,141.9006667,141.9006667,141.9006667,129.468,129.468,129.468,129.468,115.4166667
